Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Tot
1950,6.25,3.46,1.65,5.13,13.27,5.78,7.97,5.59,2.44,1.34,0.97,0.48,54.33
1951,2.44,8,1.76,3.76,2.28,9.8,2.13,3.18,4.27,5.51,3.67,0.98,47.78
1952,1.81,3.2,3.49,4.67,5.08,1.26,1.1,5.79,0.4,0.55,4.68,1.34,33.37
1953,1.88,1.13,7.5,7.59,4.65,0.18,4.75,1.79,1.32,2.78,1.9,2.24,37.71
1954,2.6,0.97,3.48,3.78,4,0.67,0.95,1.49,4.3,6.48,0.94,5.98,35.64
1955,1.37,4.6,4.34,2.71,7.29,6.34,3.98,2.67,4.79,0.57,1.44,0.26,40.36
1956,1.91,4.25,2.59,4.7,6.2,6.44,4.05,0.7,0.91,2.1,3.87,2.74,40.46
1957,3.29,4.01,3.24,11.47,13.39,7.57,2.58,6.81,5.69,1.37,6.36,1.13,66.91
1958,1.14,2.33,4.62,2.58,4.37,5.8,11.91,3.29,5.34,1.21,4.35,0.46,47.4
1959,0.55,1.83,4.57,3.34,4.68,3.68,7.48,2.73,3.97,6.4,4.01,2.89,46.13
1960,1.85,2.3,1.49,3.56,11.3,2.97,12.03,1.2,1.43,3.21,1.75,4.42,47.51
1961,1.35,1.96,4.4,3.08,10.73,2.72,5.81,5.89,4.87,2.48,4.09,3.93,51.31
1962,2.43,1.6,2.04,4.94,2.31,3.82,3.51,4.9,4.59,5.45,1.15,1.63,38.37
1963,0.56,1.31,1.42,2.46,3.71,1.75,2.17,2.92,1.61,0.03,1.94,1.15,21.03
1964,0.72,2.08,3.84,3.55,4.52,4.91,0.26,9.12,4.42,0.25,3.89,1.88,39.44
1965,2.62,3.28,2.07,4.87,4.17,8.36,0.79,7.25,2.45,0.57,1.13,2.9,40.46
1966,4.31,6.74,2.58,6.07,3.73,2.47,3.26,4.3,1.51,1.18,2.27,2.95,41.37
1967,2.26,1.67,1.78,4.88,4.66,6.8,1.31,3.18,4.26,8.54,0.95,5.56,45.85
1968,2.1,2.51,6.2,3.55,5.98,3.91,1.95,2.45,3.95,1.85,8.45,4.75,47.65
1969,3.89,1.77,3.74,5.23,2.78,6.02,1.98,0.95,2.68,7.81,1.2,4.58,42.63
1970,0.92,1.39,4.07,7.2,2.55,4.49,0.59,2.31,10.41,9.6,2.93,1.44,47.9
1971,3,2.86,0.98,3.73,5.4,2.08,6.9,2.82,4.97,2.63,1.35,6.86,43.58
1972,0.65,1.35,1.56,5.62,4.78,3.98,6.23,2.19,6.53,5.71,4.51,1.21,44.32
1973,4.35,2.4,8.7,7.99,7.92,7.13,0.91,3.04,6.69,5.81,9.55,4.51,69
1974,1.12,3.2,3.54,5.69,5.76,5.97,2.35,5.75,8.92,3.85,4.42,2.68,53.25
1975,2.57,4.49,5.89,2.08,3.58,4.82,1.94,4.89,7.07,1.15,4.13,3.67,46.28
1976,0.46,1.26,4.24,3.44,4.42,3.14,3.42,1.8,1.57,3.11,1.14,1.08,29.08
1977,1.84,1.49,6.47,1.34,1.24,4.75,7.08,4.26,7.41,0.74,5.23,1.42,43.27
1978,1.88,3.19,6.42,3.19,10.47,6.42,3.95,4.77,4.7,0.76,5.43,2.53,53.71
1979,1.72,3.2,2.83,5.38,6.5,2.71,5.27,2.09,0.75,3.48,3.16,1.44,38.53
1980,1.2,1.18,5.38,1.34,5.22,4.51,0.58,0.49,4.08,4.46,2.11,2.42,32.97
1981,1.16,3.33,2.79,2.93,10.21,7.61,3.66,7.3,2.06,6.35,1.9,0.76,50.06
1982,5.8,1.26,2.39,2.5,8.66,8.81,1.59,3.48,2.14,3.07,6.37,8.54,54.61
1983,1.86,0.89,2.5,6.04,8.07,4.52,0.56,1.51,1.09,4.07,5.3,2.04,38.45
1984,0.51,3.78,7.98,4.62,7.43,3.71,1.21,1.11,4.94,10.52,6.52,7.67,60
1985,1.06,3.91,7.02,3.77,5.65,3.82,1.25,6.23,5.34,5.66,8.81,3.03,55.55
1986,0.1,3.05,2.92,7.74,4.22,4.97,1.07,7.07,14.96,5.36,2.51,0.53,54.5
1987,3.22,4.05,3.17,4.38,6.75,3.51,2.3,7.87,4.69,3.37,5.44,7.67,56.42
1988,1.13,1.33,7.05,4.36,1.65,2.43,2.52,3.66,4.25,2.13,5.37,3.21,39.09
1989,3.29,5.59,6.14,0.14,8.81,8.49,3.05,2.13,2.22,0.75,0.6,0.34,41.55
1990,6.19,8.6,6.61,9.42,12.18,8.31,1.52,1.17,4.95,5.79,4.75,5.52,75.01
1991,2.8,0.78,3.32,5.33,3.83,1.01,2.16,4.09,4.12,8.19,4.09,3.83,43.55
1992,0.88,1.87,1.72,1.93,7.04,3.73,7.5,3.1,4.77,1.59,7.12,5.19,46.44
1993,3.69,5.23,3.34,8.04,7.5,5.79,0.83,5.1,9.76,5.21,6.04,2.04,62.57
1994,1.57,3.49,4.38,5.29,3.37,1.91,7.99,2.83,1.12,4.72,7.98,2.67,47.32
1995,5.46,0.98,2.98,7.62,6.11,6.9,5.25,0.04,3.88,2.4,1.74,2.97,46.33
1996,4.25,0.22,2.38,5.53,5.15,2.85,4.99,2.73,10.04,4.41,9.65,1.33,53.53
1997,1.08,6.04,2.21,3.73,2.06,4.93,1.42,4.36,4.74,4.53,2.04,3.56,40.7
1998,9.17,2.85,7.1,1.87,3.71,2.13,3.54,1.19,3.61,5.85,4.68,1.86,47.56
1999,2.77,2.44,4.67,4.58,7.63,7.19,0.29,0.95,2.99,2.8,1.02,4.49,41.82
2000,2.42,1.71,3.27,2.6,6.61,14.42,2.19,0.88,3.78,3.13,5.81,3,49.82
2001,2.42,6.36,0.58,1.77,7.05,5.15,2.89,1.35,5.42,6.16,3.75,4.86,47.76
2002,3.57,0.98,5.56,6.12,4.97,3.49,2.08,6.61,1.39,2.64,0.72,4.99,43.12
2003,0.12,2.93,2.14,1.38,7.93,3.91,2.21,3.71,3.01,3.63,4.24,3.04,38.25
2004,1.96,1.19,2.92,11.3,2.25,7.29,7.91,0.66,0.56,5.53,6.02,1.19,48.78
2005,5.54,2.05,1.93,3.62,3.33,4.41,1.41,1.66,3.61,1.81,1.05,0.41,30.83
2006,1.79,0.66,3.64,4.07,3.82,2.04,1.63,7.44,7.22,3.21,7.23,2.03,44.78
2007,4.62,2.03,0.69,3.15,4.43,4.23,3.15,2.56,2.6,4.64,0.35,2.57,35.02
2008,1.53,4.13,10.05,8.29,3.24,5.45,4.31,5.91,9.37,2.38,0.88,2.38,57.92
2009,0.61,2.01,4.01,3.61,7.96,2.53,4.13,6.19,6.15,10.69,1.54,1.11,50.54
2010,3.18,1.5,3.7,3.7,6.85,2.61,9.24,0.02,5.49,2.07,2.34,1.53,42.23
2011,0.22,3.7,2.03,15.28,11.5,0.95,0.63,3.97,3.63,4.11,6.98,3.07,56.07
2012,2.5,1.79,4.7,2.15,1.05,2.29,2.41,4.32,2.88, 2.98, 0.97, 2.85,30.89
2013,3.03,2.82,4.48,5.53,8.24,1.37,2.78,2.82,3.66,5.55,2.24,4.1,46.62
2014,1.64,0.84,5.58,3.03,3.43,4.1,2.43,2.08,3.58,7.23,2.5,2.64,39.08
2015,1.11,1.95,4.63,2.76,13.01,6.77,8.05,4.41,1.75,1.9,8.42,10.95,65.71
2016,0.51,0.64,3.71,3.95,5.53,2.87,6.88,1.09,2.64,2.97,0.83,1.83,33.45
2017,2.39,1.11,5.95,12.86,6.24,6.44,2.19,5.66,1.5,3.86,1.11,1.91,51.22
